Hane Naoki,1976,Japanese,"9d in 2002, son of Hane Yasumasa",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,2,1,8,4,4,14,16,20,18,25,22,16,28,9,21,17
Hane Yasumasa,1944,Japanese,pro in 1958,139,,,,,,,,,,,1,,3,1,,2,2,1,1,2,5,2,,2,4,6,6,3,10,8,9,6,6,1,5,12,10,5,2,1,1,,1,2,,5,2,2,2,4,,2,1,,,1
Hashimoto Shoji,1935,Japanese,9d in 1958,237,4,4,,2,2,2,8,10,9,7,4,5,3,12,4,3,3,5,7,5,8,7,4,2,4,6,9,15,9,10,8,9,4,1,8,6,6,2,5,,3,2,1,1,5,,,2,,1,,,,,,
Hashimoto Utaro,1907,Japanese,9d in 1954,335,6,4,8,13,11,12,21,11,17,9,15,12,14,7,17,15,13,20,20,11,20,14,8,8,7,4,8,3,2,,1,,,,2,1,1,,,,,,,,,,,,,,,,,,,
Heo Yeong-ho,1986,Korean,9d in 2011,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,9,6,7,15,20,10,11
Hikosaka Naoto,1962,Japanese,9d in 1992,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,3,6,4,6,2,6,2,1,1,2,4,10,15,20,12,4,4,1,5,3,8,5,11,9
Honda Kunihisa,1945,Japanese,affiliated to Kansai Ki-in,165,,,,,,,,,,,1,,1,,2,4,4,3,3,4,4,3,1,4,2,4,11,7,9,2,4,6,3,1,3,11,4,1,2,,2,5,2,4,10,3,3,3,6,3,,5,5,4,4,2
Hong Min-p'yo,1984,Korean,7d in 2009,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,5,8,8,10,8,12,12
Hong Seong-chi,1987,Korean,"clearly part of the Korean Baduk league, but no biographical info",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,3,5,3,14,18,14,11
Hong T'ae-seon,1954,Korean,8d in 1999,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,3,5,3,10,5,6,3,7,2,1,,,3,,,,,,,,,
Hu Yaoyu,1982,Chinese,8p in 2005,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,8,8,6,8,25,16,23,14,15,15,24,18,16
Hua Xueming,1962,Chinese,7d in 1993,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,6,1,3,,4,1,4,3,11,5,5,14,10,10,2,6,6,3,5,2,,1,1,,
Hua Yigang,1949,Chinese,8d in 1982,61,,,,,,,,,,,,,,,,,,,,,,,1,2,4,6,2,1,,6,,4,2,,3,2,3,5,,,3,5,5,3,1,,1,1,,1,,,,,,
Huang Yizhong,1981,Chinese,7d in 2008,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,3,6,17,15,14,6,5,13,20,18,13
Im Seon-keun,1958,Korean,9d in 1999,97,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,3,3,16,1,4,2,6,6,11,10,4,4,2,5,3,4,5,2,,1,,,,,
Imamura Toshiya,1966,Japanese,"9d in 1990, Kansai Ki-in, Hasegawa Hiro is pupil",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,5,4,5,3,13,6,2,5,2,4,2,2,1,,5,8,4,6,3,4,11,11,9,4,6
Ishida Akira,1949,Japanese,highest rank: 9d,108,,,,,,,,,,,,,,,,,,1,,1,1,1,4,5,4,8,3,1,5,6,5,11,6,8,5,3,1,,2,4,1,1,1,,2,5,1,,,4,4,1,,1,1,1
Ishida Yoshio,1948,Japanese,"one of the strongest players of the 1970s, won Honinbo, Meijin, Oza, Tengen.  1000 wins in official games in May 20th, 2010.  Wrote ""All About Thickness"" and ""Dictionary of Basic Joseki"". ",352,,,,,,,,,,,2,1,2,1,3,7,4,17,10,14,24,11,16,9,22,20,13,13,10,6,9,6,4,5,11,19,10,7,9,6,5,2,3,2,4,8,4,7,8,3,2,,5,3,3,2
Ishii Kunio,1941,Japanese,"Nihon Ki-in, teacher of Iyama Yuta",88,,,,,,,,,,,1,,1,1,1,2,3,2,,3,3,4,1,3,2,3,3,2,3,6,4,,,5,4,4,4,3,2,2,4,,,1,,,,3,3,1,1,,,2,,1
Iwamoto Kaoru,1902,Japanese,"also known as Honinbo Kunwa, died 1999, influential in getting Go Seigen to come to Japan",50,4,4,6,7,2,6,2,,,2,,1,,,1,,,,1,,5,2,1,2,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Iwata Tatsuaki,1926,Japanese,"Nihon Ki-in, 9d in 1964, once known as Iwata Masao",93,,,,,,,1,2,6,4,3,2,3,,,2,3,,4,3,5,2,1,1,,2,1,6,7,6,7,3,3,1,1,1,,2,4,,,,,1,1,,,1,3,,,,,1,,
Iyama Yuta,1989,Japanese,"9d in 2009, Nihon Ki-in",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,4,3,1,10,12,15,31,29
